Local,Marcador,Visita,year
Noruega,3:1 (1:0) ,Dinamarca,1995
Alemania,3:0 (1:0) ,Inglaterra,1995
Suecia,"1:1 (1:1, 0:1) (t. s.)",China,1995
Estados Unidos,0:1 (0:1) ,Noruega,1995
Alemania,1:0 (0:0) ,China,1995
China,0:2 (0:1) ,Estados Unidos,1995
Alemania,0:2 (0:2) ,Noruega,1995
Estados Unidos,3:0 (1:0) ,Dinamarca,1999
Corea del Norte,1:2 (0:0) ,Nigeria,1999
Estados Unidos,7:1 (6:1) ,Nigeria,1999
Corea del Norte,3:1 (2:0) ,Dinamarca,1999
Nigeria,2:0 (1:0) ,Dinamarca,1999
Estados Unidos,3:0 (0:0) ,Corea del Norte,1999
Brasil,7:1 (5:1) ,México,1999
Alemania,1:1 (0:1) ,Italia,1999
Brasil,2:0 (1:0) ,Italia,1999
Alemania,6:0 (2:0) ,México,1999
Alemania,3:3 (1:2) ,Brasil,1999
México,0:2 (0:1) ,Italia,1999
Japón,1:1 (0:1) ,Canadá,1999
Noruega,2:1 (1:0) ,Rusia,1999
Noruega,7:1 (2:1) ,Canadá,1999
Japón,0:5 (0:1) ,Rusia,1999
Canadá,1:4 (0:0) ,Rusia,1999
Noruega,4:0 (3:0) ,Japón,1999
China,2:1 (1:1) ,Suecia,1999
Australia,1:1 (0:0) ,Ghana,1999
Australia,1:3 (1:2) ,Suecia,1999
China,7:0 (3:0) ,Ghana,1999
China,3:1 (1:0) ,Australia,1999
Ghana,0:2 (0:0) ,Suecia,1999
China,2:0 (1:0) ,Rusia,1999
Noruega,3:1 (0:0) ,Suecia,1999
Estados Unidos,3:2 (1:2) ,Alemania,1999
Brasil,"4:3 (3:3, 3:0) (t. s.)",Nigeria,1999
Estados Unidos,2:0 (1:0) ,Brasil,1999
Noruega,0:5 (0:3) ,China,1999
Brasil,0:0 (t. s.),Noruega,1999
Estados Unidos,0:0 (t. s.),China,1999
Nigeria,0:3 (0:1) ,Corea del Norte,2003
Estados Unidos,3:1 (2:0) ,Suecia,2003
Suecia,1:0 (1:0) ,Corea del Norte,2003
Estados Unidos,5:0 (2:0) ,Nigeria,2003
Suecia,3:0 (0:0) ,Nigeria,2003
Corea del Norte,0:3 (0:1) ,Estados Unidos,2003
Noruega,2:0 (0:0) ,Francia,2003
Brasil,3:0 (1:0) ,Corea del Sur,2003
Noruega,1:4 (1:2) ,Brasil,2003
Francia,1:0 (0:0) ,Corea del Sur,2003
Corea del Sur,1:7 (0:4) ,Noruega,2003
Francia,1:1 (0:0) ,Brasil,2003
Alemania,4:1 (1:1) ,Canadá,2003
Japón,6:0 (2:0) ,Argentina,2003
Alemania,3:0 (2:0) ,Japón,2003
Canadá,3:0 (1:0) ,Argentina,2003
Canadá,3:1 (1:1) ,Japón,2003
Argentina,1:6 (0:4) ,Alemania,2003
Australia,1:2 (1:1) ,Rusia,2003
China,1:0 (1:0) ,Ghana,2003
Ghana,0:3 (0:1) ,Rusia,2003
China,1:1 (0:1) ,Australia,2003
Ghana,2:1 (2:0) ,Australia,2003
China,1:0 (1:0) ,Rusia,2003
Brasil,1:2 (1:1) ,Suecia,2003
Estados Unidos,1:0 (1:0) ,Noruega,2003
Alemania,7:1 (1:0) ,Rusia,2003
China,0:1 (0:1) ,Canadá,2003
Estados Unidos,0:3 (0:1) ,Alemania,2003
Suecia,2:1 (0:0) ,Canadá,2003
Estados Unidos,3:1 (1:1) ,Canadá,2003
Alemania,"2:1 (1:1, 0:1) (t. s.)",Suecia,2003
Alemania,11:0 (5:0) ,Argentina,2007
Japón,2:2 (0:0) ,Inglaterra,2007
Argentina,0:1 (0:0) ,Japón,2007
Inglaterra,0:0 ,Alemania,2007
Alemania,2:0 (1:0) ,Japón,2007
Inglaterra,6:1 (2:0) ,Argentina,2007
Estados Unidos,2:2 (0:0) ,Corea del Norte,2007
Nigeria,1:1 (0:0) ,Suecia,2007
Suecia,0:2 (0:1) ,Estados Unidos,2007
Corea del Norte,2:0 (2:0) ,Nigeria,2007
Nigeria,0:1 (0:1) ,Estados Unidos,2007
Corea del Norte,1:2 (1:1) ,Suecia,2007
Ghana,1:4 (1:0) ,Australia,2007
Noruega,2:1 (0:1) ,Canadá,2007
Canadá,4:0 (1:0) ,Ghana,2007
Australia,1:1 (0:1) ,Noruega,2007
Noruega,7:2 (3:0) ,Ghana,2007
Australia,2:2 (0:1) ,Canadá,2007
Nueva Zelanda,0:5 (0:1) ,Brasil,2007
China,3:2 (1:0) ,Dinamarca,2007
Dinamarca,2:0 (0:0) ,Nueva Zelanda,2007
Brasil,4:0 (1:0) ,China,2007
Brasil,1:0 (0:0) ,Dinamarca,2007
China,2:0 (0:0) ,Nueva Zelanda,2007
Alemania,3:0 (1:0) ,Corea del Norte,2007
Estados Unidos,3:0 (0:0) ,Inglaterra,2007
Noruega,1:0 (1:0) ,China,2007
Brasil,3:2 (2:0) ,Australia,2007
Alemania,3:0 (1:0) ,Noruega,2007
Estados Unidos,0:4 (0:2) ,Brasil,2007
Noruega,1:4 (0:1) ,Estados Unidos,2007
Alemania,2:0 (0:0) ,Brasil,2007
Dinamarca,2:4 (1:1) ,Suecia,2007
Suecia,3:1 (2:0) ,Dinamarca,2007
Nigeria,0:1 (0:0) ,Francia,2011
Alemania,2:1 (2:0) ,Canadá,2011
Canadá,0:4 (0:1) ,Francia,2011
Alemania,1:0 (0:0) ,Nigeria,2011
Francia,2:4 (0:2) ,Alemania,2011
Canadá,0:1 (0:0) ,Nigeria,2011
Japón,2:1 (1:1) ,Nueva Zelanda,2011
México,1:1 (1:1) ,Inglaterra,2011
Japón,4:0 (3:0) ,México,2011
Nueva Zelanda,1:2 (1:0) ,Inglaterra,2011
Inglaterra,2:0 (1:0) ,Japón,2011
Nueva Zelanda,2:2 (0:2) ,México,2011
Colombia,0:1 (0:0) ,Suecia,2011
Estados Unidos,2:0 (0:0) ,Corea del Norte,2011
Corea del Norte,0:1 (0:0) ,Suecia,2011
Estados Unidos,3:0 (1:0) ,Colombia,2011
Suecia,2:1 (2:0) ,Estados Unidos,2011
Corea del Norte,0:0 ,Colombia,2011
Noruega,1:0 (0:0) ,Guinea Ecuatorial,2011
Brasil,1:0 (0:0) ,Australia,2011
Australia,3:2 (1:1) ,Guinea Ecuatorial,2011
Brasil,3:0 (1:0) ,Noruega,2011
Guinea Ecuatorial,0:3 (0:0) ,Brasil,2011
Australia,2:1 (0:0) ,Noruega,2011
Inglaterra,"1:1 (1:1, 0:0) (t. s.)",Francia,2011
Alemania,"0:1 (0:0, 0:0) (t. s.)",Japón,2011
Suecia,3:1 (2:1) ,Australia,2011
Brasil,"2:2 (1:1, 0:1) (t. s.)",Estados Unidos,2011
Francia,1:3 (0:1) ,Estados Unidos,2011
Japón,3:1 (1:1) ,Suecia,2011
Suecia,2:1 (1:0) ,Francia,2011
Japón,"2:2 (1:1, 0:0) (t. s.)",Estados Unidos,2011
Canadá,1:0 (0:0) ,China,2015
Nueva Zelanda,0:1 (0:1) ,Países Bajos,2015
China,1:0 (0:0) ,Países Bajos,2015
Canadá,0:0 ,Nueva Zelanda,2015
Países Bajos,1:1 (0:1) ,Canadá,2015
China,2:2 (1:1) ,Nueva Zelanda,2015
Noruega,4:0 (3:0) ,Tailandia,2015
Alemania,10:0 (5:0) ,Costa de Marfil,2015
Alemania,1:1 (1:0) ,Noruega,2015
Costa de Marfil,2:3 (1:2) ,Tailandia,2015
Tailandia,0:4 (0:1) ,Alemania,2015
Costa de Marfil,1:3 (0:1) ,Noruega,2015
Camerún,6:0 (3:0) ,Ecuador,2015
Japón,1:0 (1:0) ,Suiza,2015
Suiza,10:1 (2:0) ,Ecuador,2015
Japón,2:1 (2:0) ,Camerún,2015
Ecuador,0:1 (0:1) ,Japón,2015
Suiza,1:2 (1:0) ,Camerún,2015
Suecia,3:3 (2:0) ,Nigeria,2015
Estados Unidos,3:1 (1:1) ,Australia,2015
Australia,2:0 (1:0) ,Nigeria,2015
Estados Unidos,0:0 ,Suecia,2015
Nigeria,0:1 (0:1) ,Estados Unidos,2015
Australia,1:1 (1:1) ,Suecia,2015
España,1:1 (1:1) ,Costa Rica,2015
Brasil,2:0 (1:0) ,Corea del Sur,2015
Brasil,1:0 (1:0) ,España,2015
Corea del Sur,2:2 (2:1) ,Costa Rica,2015
Costa Rica,0:1 (0:0) ,Brasil,2015
Corea del Sur,2:1 (0:1) ,España,2015
Francia,1:0 (1:0) ,Inglaterra,2015
Colombia,1:1 (0:1) ,México,2015
Francia,0:2 (0:1) ,Colombia,2015
Inglaterra,2:1 (0:0) ,México,2015
México,0:5 (0:4) ,Francia,2015
Inglaterra,2:1 (2:0) ,Colombia,2015
Alemania,4:1 (2:0) ,Suecia,2015
China,1:0 (1:0) ,Camerún,2015
Brasil,0:1 (0:0) ,Australia,2015
Francia,3:0 (2:0) ,Corea del Sur,2015
Canadá,1:0 (0:0) ,Suiza,2015
Noruega,1:2 (0:0) ,Inglaterra,2015
Estados Unidos,2:0 (0:0) ,Colombia,2015
Japón,2:1 (1:0) ,Países Bajos,2015
Alemania,"1:1 (1:1, 0:0) (t. s.)",Francia,2015
China,0:1 (0:0) ,Estados Unidos,2015
Australia,0:1 (0:0) ,Japón,2015
Inglaterra,2:1 (2:1) ,Canadá,2015
Estados Unidos,2:0 (0:0) ,Alemania,2015
Japón,2:1 (1:1) ,Inglaterra,2015
Alemania,0:1 (0:0) (t. s.),Inglaterra,2015
Estados Unidos,5:2 (4:1) ,Japón,2015
Francia,4:0 (3:0) ,Corea del Sur,2019
Noruega,3:0 (3:0) ,Nigeria,2019
Nigeria,2:0 (1:0) ,Corea del Sur,2019
Francia,2:1 (0:0) ,Noruega,2019
Nigeria,0:1 (0:0) ,Francia,2019
Corea del Sur,1:2 (0:1) ,Noruega,2019
Alemania,1:0 (0:0) ,China,2019
España,3:1 (0:1) ,Sudáfrica,2019
Alemania,1:0 (1:0) ,España,2019
Sudáfrica,0:1 (0:1) ,China,2019
Sudáfrica,0:4 (0:3) ,Alemania,2019
China,0:0 ,España,2019
Australia,1:2 (1:0) ,Italia,2019
Brasil,3:0 (1:0) ,Jamaica,2019
Australia,3:2 (1:2) ,Brasil,2019
Jamaica,0:5 (0:2) ,Italia,2019
Jamaica,1:4 (0:2) ,Australia,2019
Italia,0:1 (0:0) ,Brasil,2019
Inglaterra,2:1 (2:0) ,Escocia,2019
Argentina,0:0 ,Japón,2019
Japón,2:1 (2:0) ,Escocia,2019
Inglaterra,1:0 (0:0) ,Argentina,2019
Japón,0:2 (0:1) ,Inglaterra,2019
Escocia,3:3 (1:0) ,Argentina,2019
Canadá,1:0 (1:0) ,Camerún,2019
Nueva Zelanda,0:1 (0:0) ,Países Bajos,2019
Países Bajos,3:1 (1:1) ,Camerún,2019
Canadá,2:0 (0:0) ,Nueva Zelanda,2019
Países Bajos,2:1 (0:0) ,Canadá,2019
Camerún,2:1 (0:0) ,Nueva Zelanda,2019
Chile,0:2 (0:0) ,Suecia,2019
Estados Unidos,13:0 (3:0) ,Tailandia,2019
Suecia,5:1 (3:0) ,Tailandia,2019
Estados Unidos,3:0 (3:0) ,Chile,2019
Suecia,0:2 (0:1) ,Estados Unidos,2019
Tailandia,0:2 (0:0) ,Chile,2019
Alemania,3:0 (2:0) ,Nigeria,2019
Noruega,"1:1 (1:1, 1:0) (t. s.)",Australia,2019
Inglaterra,3:0 (2:0) ,Camerún,2019
Francia,"2:1 (1:1, 0:0) (t. s.)",Brasil,2019
España,1:2 (1:1) ,Estados Unidos,2019
Suecia,1:0 (0:0) ,Canadá,2019
Italia,2:0 (1:0) ,China,2019
Países Bajos,2:1 (1:1) ,Japón,2019
Noruega,0:3 (0:2) ,Inglaterra,2019
Francia,1:2 (0:1) ,Estados Unidos,2019
Italia,0:2 (0:0) ,Países Bajos,2019
Alemania,1:2 (1:1) ,Suecia,2019
Inglaterra,1:2 (1:2) ,Estados Unidos,2019
Países Bajos,"1:0 (0:0, 0:0) (t. s.)",Suecia,2019
Inglaterra,1:2 (1:2) ,Suecia,2019
Estados Unidos,2:0 (0:0) ,Países Bajos,2019
